Row,Name,Count,crank1,crankx
136,CHRISTOPHER ,419,-4Ê ,-71Ê
137,FLYNN ,418,+16Ê ,+59Ê
137,ROCCO ,418,+9Ê ,+167Ê
139,NICHOLAS ,413,+2Ê ,-39Ê
140,SAM ,405,-12Ê ,-87Ê
141,ARLO ,397,+48Ê ,+735Ê
141,FILIP ,397,-6Ê ,+1020Ê
141,JAKUB ,397,+11Ê ,+515Ê
144,ASHTON ,392,+5Ê ,-6Ê
145,ZAC ,379,-1Ê ,+79Ê
146,MILO ,378,+13Ê ,+206Ê
147,COREY ,376,-16Ê ,-37Ê
148,SYED ,375,+8Ê ,+2Ê
149,ABDULLAH ,373,+20Ê ,+41Ê
149,BRODY ,373,+21Ê ,+268Ê
149,JONAH ,373,+22Ê ,+119Ê
152,LEVI ,369,+14Ê ,+2Ê
152,PETER ,369,+30Ê ,-43Ê
154,LEIGHTON ,368,-4Ê ,+96Ê
155,TED ,366,+24Ê ,+183Ê
156,AIDAN ,364,-13Ê ,-86Ê
156,BEN ,364,-16Ê ,-129Ê
158,RUBEN ,361,-2Ê ,+33Ê
159,HAYDEN ,360,-30Ê ,-40Ê
160,JENSEN ,359,+24Ê ,+117Ê
161,MILES ,356,+19Ê ,+23Ê
162,JASON ,353,-7Ê ,-46Ê
163,TRISTAN ,350,-25Ê ,-6Ê
164,MAXIMILIAN ,348,+19Ê ,+34Ê
165,OLLY ,346,-43Ê ,+742Ê
166,RUPERT ,345,+47Ê ,+357Ê
167,REECE ,344,-22Ê ,-115Ê
168,MOHAMED ,343,+5Ê ,-29Ê
169,TAYLOR ,339,-51Ê ,-91Ê
170,SPENCER ,336,-10Ê ,-39Ê
171,COLE ,335,-10Ê ,-37Ê
171,JONATHAN ,335,-4Ê ,-90Ê
173,KACPER ,334,-5Ê ,+866Ê
174,VINCENT ,332,-11Ê ,+39Ê
175,LAYTON ,321,+1Ê ,+146Ê
176,MORGAN ,316,-25Ê ,-110Ê
